,Date,Team,Acquired,Relinquished,Notes
376,1984-10-23,Lakers,, Earl Jones,placed on IL with right foot sesamoiditis
377,1984-10-23,Nets,, Clarence Walker / Foots Walker,placed on IL with right knee inflammation
378,1984-10-25,Bucks,, Ricky Pierce,placed on IL
379,1984-10-25,Cavaliers,, Lonnie Shelton,placed on IL
380,1984-10-25,Cavaliers,, Paul Thompson,placed on IL
381,1984-10-25,Nets,, Albert King,placed on IL with back spasms
382,1984-10-25,Pacers,, Clark Kellogg,placed on IL recovering from arthroscopic surgery on left knee
383,1984-10-25,Sonics,, John Schweitz,placed on IL
384,1984-10-25,Sonics,, Reggie King,placed on IL
387,1984-11-06,Pistons,, Dan Roundfield,placed on IL with strained left calf muscle
388,1984-11-07,Cavaliers,, Ron Anderson,placed on IL with stress fracture in left femur
389,1984-11-08,Knicks,, Eddie Lee Wilkins,placed on IL with sprained ankle
392,1984-11-24,Pistons,, Kelly Tripucka,placed on IL with pulled hamstring (date approximate)
393,1984-11-24,Suns,, Larry Nance (Sr.),placed on IL
394,1984-11-24,Suns,, Rod Foster,placed on IL
395,1984-11-26,Knicks,, Bill Cartwright,placed on IL with fractured metatarsal bone in left foot
397,1984-11-27,Lakers,, Earl Jones,placed on IL with sprained right ankle & foot inflammation
398,1984-12-12,Nets,, Albert King,placed on IL with pulled groin
400,1984-12-14,Kings,, Larry Drew (I),placed on IL with sprained left foot
403,1984-12-21,Cavaliers,, Edgar Jones,placed on IL with calcium deposit in left leg
404,1984-12-27,Nets,, Otis Birdsong,placed on IL
405,1984-12-29,Rockets,, Allen Leavell,placed on IL with right ankle inflammation
406,1985-01-10,Pacers,, Bill Garnett,placed on IL with dislocated finger
407,1985-01-14,Bulls,, Caldwell Jones,placed on IL with broken left hand
410,1985-02-07,Jazz,, Mitchell Anderson / J.J. Anderson,placed on IL with calf injury
411,1985-02-11,Bucks,, Mike Dunleavy (Sr.),placed on IL with back injury
413,1985-02-13,Bullets,, Frank Johnson,placed on IL with fractured fourth metatarsal bone in left foot
414,1985-02-17,Clippers,, Bill Walton,placed on IL with sore foot
415,1985-02-18,Nets,, Mike O'Koren,placed on IL with broken arm
416,1985-02-20,Celtics,, Cedric Maxwell,placed on IL for arthroscopic surgery on knee
418,1985-03-02,Clippers,, Jay Murphy,placed on IL with torn cartilage in knee
419,1985-03-19,Suns,, Larry Nance (Sr.),placed on IL with pulled groin muscle (out ~7 games)
421,1985-03-21,Celtics,, M.L. Carr,placed on IL
423,1985-03-23,Nets,, Otis Birdsong,placed on IL with fractured right hand
424,1985-03-25,Pacers,, Bill Garnett,placed on IL with dislocated finger (out for season)
425,1985-03-27,Suns,, Walter Davis (P.),placed on IL
427,1985-04-08,76ers,, Andrew Toney,placed on IL
429,1985-04-11,Bucks,, Kenny Fields,placed on IL with sprained ankle
430,1985-10-08,Sonics,, Tim McCormick,placed on IL recovering from arthroscopic surgery on right knee
431,1985-10-22,Bucks,, Charles Davis,placed on IL
432,1985-10-22,Cavaliers,, Keith Lee,placed on IL with pulled thigh muscle
433,1985-10-22,Cavaliers,, Lonnie Shelton,placed on IL recovering from arthroscopic surgery on left knee
434,1985-10-24,Knicks,, Bill Cartwright,placed on IL with bruised left foot
435,1985-10-24,Lakers,, Ronnie Lester,placed on IL with tendinitis in knee
436,1985-10-24,Suns,, Nick Vanos,placed on IL
437,1985-10-25,Bulls,, Quintin Dailey,placed on IL during drug rehab
438,1985-10-28,Spurs,, Tyrone Corbin,placed on IL with sprained knee
439,1985-10-29,Suns,, Bernard Thompson,placed on IL with stress fracture in left ankle
440,1985-10-31,Hawks,, Glenn Rivers / Doc Rivers,placed on IL with broken bone in right wrist (date approximate)
441,1985-11-05,Bulls,, Michael Jordan (Jeffrey),placed on IL with fractured navicular tarsal bone in left foot
444,1985-11-12,Lakers,, Byron Scott,placed on IL with strained left hamstring
447,1985-12-04,76ers,, Sedale Threatt,placed on IL with pulled abdominal muscle
449,1985-12-05,76ers,, Voise Winters,waived
455,1985-12-17,Kings,, Otis Thorpe,placed on IL with strained ligament in knee
457,1986-01-03,Mavericks,, Charlie Sitton,placed on IL
458,1986-01-05,Clippers,, Derek Smith,placed on IL with sore left knee
460,1986-02-15,Jazz,, Jeff Cook,placed on IL
461,1986-02-22,Bulls,, Jawann Oldham,placed on IL with broken left cheekbone
462,1986-02-27,Bucks,, Earl Jones,placed on IL with stress fracture in right foot
463,1986-03-05,Bulls,, Dave Corzine,placed on IL with broken left hand
465,1986-03-14,Bulls,, Jawann Oldham,placed on IL with re-injured left cheekbone
467,1986-04-05,76ers,, Moses Malone,placed on IL
469,1986-04-09,Bucks,, Derrick Rowland,placed on IL recovering from arthroscopic surgery on knee (date approxiomate)
472,1986-09-13,Kings,, Franklin Edwards,placed on IL with fractured right foot
473,1986-10-12,Suns,, William Bedford,placed on IL recovering from surgery on right knee to remove bone chips (date approximate)
474,1986-10-30,Bucks,, Chris Engler,placed on IL
475,1986-10-30,Bullets,, Ennis Whatley,placed on IL with sprained right thumb
476,1986-10-30,Bullets,, Jay Vincent,placed on IL with ruptured tendon in right ring finger
477,1986-10-30,Bulls,, Gene Banks,placed on IL with broken right foot
478,1986-10-30,Celtics,, Scott Wedman,placed on IL
479,1986-10-30,Hawks,, Antoine Carr,placed on IL
480,1986-10-30,Rockets,, Ralph Sampson,placed on IL with sprained ankle
481,1986-10-30,Sonics,, Nate McMillan,placed on IL
482,1986-10-30,Knicks,, Jawann Oldham,placed on IL with sore hip
483,1986-11-01,Suns,, Bernard Thompson,placed on IL with stress fracture in left shin
484,1986-11-02,Clippers,, Darnell Valentine,placed on IL with broken left hand (date approximate)
485,1986-11-07,Lakers,, Petur Gudmundsson,placed on IL
487,1986-11-10,Celtics,, Bill Walton,placed on IL
490,1986-11-17,Bucks,, Scott Skiles,placed on IL with sprained ankle
492,1986-11-20,Nets,, Darryl Dawkins,placed on IL with back injury
494,1986-11-21,Warriors,, Purvis Short,placed on IL with sore left knee
497,1986-11-26,Cavaliers,, Carlton McCray / Scooter McCray,placed on IL with sore knee
499,1986-11-28,Suns,, James Edwards,placed on IL with left heel tendinitis
503,1986-12-08,Rockets,, Robert Reid,placed on IL recovering from arthroscopic surgery on right knee
505,1986-12-11,Celtics,, Scott Wedman,placed on IL with sore left heel (date approximate)
507,1986-12-29,Pacers,, Ron Anderson,placed on IL with sprained left knee
508,1986-12-31,Pacers,, Herb Williams,placed on IL with bruised ribs
