,Date,Team,Acquired,Relinquished,Notes
29717,2019-10-23,Wizards,, Troy Brown Jr.,placed on IL with strained left calf
29718,2019-10-24,Bucks,, Dragan Bender,placed on IL
29719,2019-10-24,Bucks,, Frank Mason,placed on IL
29720,2019-10-24,Hawks,, Allen Crabbe,placed on IL with right knee injury
29721,2019-10-24,Hawks,, Chandler Parsons,placed on IL with knee injury
29722,2019-10-24,Rockets,, Nene / Nene Hilario / Maybyner Hilario,placed on IL with adductor injury
29723,2019-10-24,Warriors,, Alec Burks,placed on IL with sprained right ankle
29724,2019-10-24,Warriors,, Willie Cauley-Stein,placed on IL with left foot injury
29725,2019-10-25,Celtics,, Enes Kanter / Enes Freedom,placed on IL with bruised left knee
29726,2019-10-25,Hornets,, Nicolas Batum,placed on IL with fractured finger
29727,2019-10-25,Jazz,, Bojan Bogdanovic,placed on IL with sprained left ankle
29728,2019-10-25,Kings,, Marvin Bagley III,placed on IL with fractured right thumb
29730,2019-10-25,Mavericks,, Isaiah Roby,placed on IL
29732,2019-10-26,76ers,, Joel Embiid,placed on IL with sprained right ankle
29734,2019-10-26,Celtics,, Daniel Theis,placed on IL with sprained left ankle
29735,2019-10-26,Celtics,, Tacko Fall,placed on IL with concussion
29739,2019-10-26,Pacers,, Jeremy Lamb,placed on IL with right hip pointer
29740,2019-10-26,Pelicans,, Jrue Holiday,placed on IL with sprained left knee
29741,2019-10-26,Pistons,, Reggie Jackson (Shon),placed on IL with back injury
29744,2019-10-26,Suns,, Ricky Rubio,placed on IL with bruised left knee
29746,2019-10-27,Heat,, Derrick Jones Jr.,placed on IL with strained left groin
29747,2019-10-27,Warriors,, Kevon Looney,placed on IL with neuropathy
29749,2019-10-28,Blazers,, Zach Collins,placed on IL with left shoulder injury
29750,2019-10-28,Cavaliers,, John Henson,placed on IL with strained right hamstring
29751,2019-10-28,Pistons,, Jordan Bone,placed on IL
29754,2019-10-28,Suns,, Jared Harper,placed on IL
29755,2019-10-29,Hawks,, Evan Turner,placed on IL with left Achilles injury
29756,2019-10-29,Knicks,, Elfrid Payton,placed on IL with strained right hamstring
29757,2019-10-29,Mavericks,, Ryan Broekhoff,placed on IL
29760,2019-10-30,76ers,, Shake Milton,placed on IL with left knee injury
29761,2019-10-30,Celtics,, Jaylen Brown,placed on IL with illness
29764,2019-10-30,Clippers,, Kawhi Leonard,placed on IL
29766,2019-10-30,Pacers,, Edmond Sumner,placed on IL with fractured right hand
29768,2019-10-30,Thunder,, Steven Adams,placed on IL with bruised left knee
29769,2019-10-30,Warriors,, Jacob Evans,placed on IL with strained left adductor
29772,2019-10-31,Cavaliers,, Matthew Dellavedova,placed on IL for personal reasons (birth of child)
29774,2019-10-31,Hawks,, Trae Young,placed on IL with sprained right ankle
29775,2019-10-31,Heat,, K.Z. Okpala,placed on IL with left Achilles injury
29777,2019-10-31,Nuggets,, Will Barton,placed on IL with toe injury
29779,2019-11-01,Bucks,, Kyle Korver,placed on IL
29780,2019-11-01,Celtics,, Robert Williams III,placed on IL with sore left hip
29783,2019-11-01,Magic,, Michael Carter-Williams,placed on IL with bruised left hip
29784,2019-11-01,Pacers,, Myles Turner,placed on IL with sprained right ankle
29785,2019-11-01,Warriors,, Stephen Curry,placed on IL with fractured left hand
29787,2019-11-02,Jazz,, Ed Davis (Adam),placed on IL with fractured fibula in left leg
29788,2019-11-02,Magic,, Melvin Frazier Jr.,placed on IL with bruised left shoulder
29789,2019-11-02,Pistons,, Tim Frazier,placed on IL with strained right shoulder
29791,2019-11-02,Wizards,, Jordan McRae,placed on IL with fractured finger
29794,2019-11-03,Jazz,, Emmanuel Mudiay,placed on IL with left hamstring injury
29795,2019-11-03,Mavericks,, Maximilian Kleber / Maxi Kleber,placed on IL with bruised right knee
29797,2019-11-03,Pacers,, Domantas Sabonis,placed on IL with left calf injury
29798,2019-11-04,Blazers,, Zach Collins,placed on IL with surgery on left shoulder
29799,2019-11-04,Grizzlies,, Grayson Allen,placed on IL with sore left ankle
29800,2019-11-04,Grizzlies,, Jaren Jackson Jr.,placed on IL with sore right knee
29802,2019-11-04,Pistons,, Derrick Rose,placed on IL with right hamstring injury
29805,2019-11-05,Celtics,, Romeo Langford,placed on IL with illness
29808,2019-11-05,Heat,, Dion Waiters,placed on IL
29811,2019-11-05,Nuggets,, Vlatko Cancar,placed on IL
29816,2019-11-06,Clippers,, Kawhi Leonard,placed on IL
29818,2019-11-06,Magic,, Terrence Ross,placed on IL with sore right knee
29819,2019-11-06,Mavericks,, Ryan Broekhoff,placed on IL
29821,2019-11-06,Pacers,, Jeremy Lamb,placed on IL with sprained left ankle
29823,2019-11-06,Raptors,, Patrick McCaw,placed on IL with left knee injury
29824,2019-11-06,Rockets,, Eric Gordon,placed on IL with left hamstring injury
29825,2019-11-06,Timberwolves,, Jeff Teague,placed on IL with illness
29826,2019-11-06,Warriors,, Draymond Green,placed on IL with left index finger injury
29828,2019-11-07,Celtics,, Enes Kanter / Enes Freedom,placed on IL with bruised left knee
29831,2019-11-07,Heat,, Justise Winslow,placed on IL with concussion
29832,2019-11-08,76ers,, Ben Simmons,placed on IL with right shoulder injury
29834,2019-11-08,Knicks,, Mitchell Robinson,placed on IL with concussion
29835,2019-11-08,Nets,, DeAndre Jordan,placed on IL with sprained left ankle
29836,2019-11-08,Pacers,, Goga Bitadze,placed on IL with concussion
29837,2019-11-09,Bucks,, Kyle Korver,placed on IL with bruised head
29838,2019-11-09,Bulls,, Otto Porter Jr.,placed on IL with sprained left foot
29839,2019-11-09,Grizzlies,, Brandon Clarke,placed on IL with back injury
29841,2019-11-09,Pelicans,, Lonzo Ball,placed on IL with strained right adductor
29842,2019-11-09,Raptors,, Serge Ibaka,placed on IL with sprained right ankle
29847,2019-11-10,Raptors,, Kyle Lowry,placed on IL with fractured left thumb
29848,2019-11-10,Thunder,, Steven Adams,placed on IL with bruised left knee
29849,2019-11-11,Celtics,, Gordon Hayward,placed on IL with fractured left hand
29853,2019-11-11,Mavericks,, Ryan Broekhoff,placed on IL
29854,2019-11-11,Pistons,, Khyri Thomas,placed on IL with stress reaction in right foot
29860,2019-11-12,76ers,, Trey Burke,placed on IL with left calf injury
29863,2019-11-12,Heat,, James Johnson,placed on IL with illness
29864,2019-11-12,Kings,, De'Aaron Fox,placed on IL with sprained left ankle
29866,2019-11-12,Nets,, Caris LeVert,placed on IL with right thumb injury (surgery)
29867,2019-11-12,Rockets,, Eric Gordon,placed on IL with surgery on right knee
29869,2019-11-12,Warriors,, Damion Lee,placed on IL with fractured right hand
29871,2019-11-13,Celtics,, Daniel Theis,placed on IL with finger injury
29872,2019-11-13,Clippers,, Landry Shamet,placed on IL with sprained left ankle
29873,2019-11-13,Hornets,, Dwayne Bacon,placed on IL with sore right knee
29874,2019-11-13,Lakers,, Anthony Davis,placed on IL with sore right shoulder
29875,2019-11-13,Raptors,, Ogugua Anunoby / O.G. Anunoby,placed on IL with right eye injury
29876,2019-11-13,Rockets,, Danuel House Jr.,placed on IL with back injury
29878,2019-11-14,Bucks,, Khris Middleton,placed on IL with left thigh injury
29880,2019-11-14,Clippers,, Patrick Beverley,placed on IL with left calf injury
29882,2019-11-14,Hawks,, Kevin Huerter,placed on IL with strained rotator cuff in left shoulder
29885,2019-11-15,Celtics,, Romeo Langford,placed on IL
29887,2019-11-15,Kings,, Trevor Ariza,placed on IL with right groin injury
29888,2019-11-15,Lakers,, Avery Bradley,placed on IL with right leg injury
29890,2019-11-15,Magic,, Jonathan Isaac,placed on IL with sprained right ankle
29892,2019-11-15,Pistons,, Jordan Bone,placed on IL
29893,2019-11-15,Rockets,, Clint Capela,placed on IL with concussion
29894,2019-11-15,Timberwolves,, Andrew Wiggins,placed on IL for personal reasons
29897,2019-11-16,Clippers,, Kawhi Leonard,placed on IL with bruised left knee
29902,2019-11-16,Pacers,, Malcolm Brogdon,placed on IL with sore lower back
29903,2019-11-16,Pacers,, T.J. McConnell,placed on IL with right groin injury
29905,2019-11-16,Pelicans,, Jahlil Okafor,placed on IL with sprained left ankle
29907,2019-11-17,Cavaliers,, Larry Nance Jr.,placed on IL with sprained left thumb
29910,2019-11-17,Pelicans,, Derrick Favors,placed on IL with lower back spasms
29911,2019-11-17,Timberwolves,, Andrew Wiggins,placed on IL with illness
29913,2019-11-18,Bulls,, Luke Kornet,placed on IL recovering from surgery on sinus
29914,2019-11-18,Cavaliers,, Kevin Love,placed on IL with bruised lower back
29916,2019-11-18,Nets,, Kyrie Irving,placed on IL with right shoulder injury
29917,2019-11-18,Raptors,, Stanley Johnson,placed on IL with left groin injury
29920,2019-11-18,Timberwolves,, Shabazz Napier,placed on IL with strained right hamstring
29922,2019-11-19,Kings,, Trevor Ariza,placed on IL with right groin injury
29923,2019-11-20,76ers,, Josh Richardson,placed on IL with right hip flexor injury
29924,2019-11-20,Bulls,, Chandler Hutchison,placed on IL with shin injury
29926,2019-11-20,Cavaliers,, Brandon Knight,placed on IL with sprained right ankle
29927,2019-11-20,Cavaliers,, Tristan Thompson,placed on IL
29931,2019-11-20,Jazz,, Nigel Williams-Goss,placed on IL
29932,2019-11-20,Magic,, Michael Carter-Williams,placed on IL with hip injury
29934,2019-11-20,Mavericks,, Seth Curry,placed on IL with illness
29936,2019-11-20,Spurs,, Derrick White,placed on IL with sore left foot
29937,2019-11-20,Timberwolves,, Jake Layman,placed on IL with toe injury
29938,2019-11-20,Timberwolves,, Naz Reid,placed on IL
29941,2019-11-21,Blazers,, Hassan Whiteside,placed on IL with right hip injury
29945,2019-11-22,Hawks,, Cameron Reddish / Cam Reddish,placed on IL with sprained left wrist
29946,2019-11-22,Rockets,, Danuel House Jr.,placed on IL with sore left shoulder
29947,2019-11-23,76ers,, Furkan Korkmaz,placed on IL with sprained left ankle
29949,2019-11-23,Blazers,, Damian Lillard,placed on IL with back spasms
29951,2019-11-23,Bucks,, Ersan Ilyasova,placed on IL with sore left heel
29955,2019-11-23,Magic,, Aaron Gordon,placed on IL with bruised right ankle
29956,2019-11-23,Pacers,, JaKarr Sampson,placed on IL with sore back
29959,2019-11-23,Pistons,, Blake Griffin,placed on IL with left hamstring injury
29960,2019-11-23,Pistons,, Tony Snell,placed on IL with strained left hip
29963,2019-11-23,Raptors,, Dewan Hernandez,placed on IL with sprained right thumb
29965,2019-11-23,Timberwolves,, Robert Covington,placed on IL for personal reasons
29966,2019-11-24,Mavericks,, Ryan Broekhoff,placed on IL
29969,2019-11-25,76ers,, Kyle O'Quinn,placed on IL with strained left calf
29971,2019-11-25,Blazers,, Gary Trent Jr.,placed on IL with strained right hamstring
29973,2019-11-25,Bucks,, George Hill,placed on IL with sore back
29975,2019-11-25,Bulls,, Max Strus,placed on IL
29976,2019-11-25,Celtics,, Daniel Theis,placed on IL with illness
29977,2019-11-25,Celtics,, Kemba Walker,placed on IL with sprained neck
29979,2019-11-25,Jazz,, Rudy Gobert,placed on IL with sprained left ankle
29980,2019-11-25,Nets,, DeAndre Jordan,placed on IL with sore left ankle
29981,2019-11-25,Pacers,, Nazareth Mitrou-Long / Naz Mitrou-Long / Naz Long,placed on IL
29983,2019-11-25,Pistons,, Jordan Bone,placed on IL
29984,2019-11-25,Pistons,, Sekou Doumbouya,placed on IL
29987,2019-11-25,Raptors,, Matt Thomas,placed on IL with fractured finger
29988,2019-11-25,Thunder,, Hamidou Diallo,placed on IL with sprained right elbow
29989,2019-11-25,Timberwolves,, Shabazz Napier,placed on IL
29990,2019-11-27,Bucks,, Dragan Bender,placed on IL
29991,2019-11-27,Bucks,, Thanasis Antetokounmpo,placed on IL with illness
29998,2019-11-27,Heat,, Derrick Jones Jr.,placed on IL with strained left hip
30000,2019-11-27,Hornets,, Cody Zeller,placed on IL with bruised left hip
30002,2019-11-27,Rockets,, Clint Capela,placed on IL with illness
30003,2019-11-27,Spurs,, Chimezie Metu,placed on IL with sore left foot
30004,2019-11-27,Suns,, Deandre Ayton,placed on IL with sprained right ankle
30006,2019-11-27,Wizards,, C.J. Miles,placed on IL with left wrist injury
30007,2019-11-29,76ers,, Josh Richardson,placed on IL with right hamstring injury
30009,2019-11-29,Bucks,, Kyle Korver,placed on IL with sore right elbow
30010,2019-11-29,Bucks,, Sterling Brown,placed on IL with sprained right shoulder
30012,2019-11-29,Bulls,, Chandler Hutchison,placed on IL with right shoulder injury
30013,2019-11-29,Jazz,, Juwan Morgan,placed on IL
30017,2019-11-29,Warriors,, D'Angelo Russell,placed on IL with sprained right thumb
30019,2019-11-30,Bucks,, Brook Lopez,placed on IL with sore back
30022,2019-11-30,Hawks,, Cameron Reddish / Cam Reddish,placed on IL with sprained left wrist
30024,2019-11-30,Rockets,, Danuel House Jr.,placed on IL with illness
30025,2019-12-01,Clippers,, Rodney McGruder,placed on IL with strained right hamstring
30026,2019-12-01,Grizzlies,, Ja Morant,placed on IL with back spasms
30027,2019-12-01,Grizzlies,, Jonas Valanciunas,placed on IL with illness
30028,2019-12-01,Grizzlies,, Kyle Anderson,placed on IL with right heel injury
30031,2019-12-01,Magic,, Al-Farouq Aminu,placed on IL with right knee injury (out for season)
30035,2019-12-01,Spurs,, LaMarcus Aldridge,placed on IL with right thigh injury
30037,2019-12-02,76ers,, Trey Burke,placed on IL with illness
30038,2019-12-02,76ers,, Zhaire Smith,placed on IL
30039,2019-12-02,Bucks,, Frank Mason,placed on IL
30042,2019-12-02,Hawks,, Allen Crabbe,placed on IL with illness
30045,2019-12-02,Knicks,, Marcus Morris,placed on IL with neck spasms
30046,2019-12-02,Suns,, Cheick Diallo,placed on IL with illness
30050,2019-12-03,Heat,, Goran Dragic,placed on IL with strained right groin
30056,2019-12-03,Wizards,, Thomas Bryant,placed on IL with right foot injury
30057,2019-12-04,Bucks,, Dragan Bender,placed on IL
30060,2019-12-04,Bulls,, Max Strus,placed on IL
30061,2019-12-04,Hawks,, Chandler Parsons,placed on IL with flu
30062,2019-12-04,Hawks,, De'Andre Hunter,placed on IL with right index finger injury
30064,2019-12-04,Jazz,, Mike Conley Jr.,placed on IL with left hamstring injury
30065,2019-12-04,Kings,, Bogdan Bogdanovic,placed on IL with bruised right knee
30066,2019-12-04,Magic,, Michael Carter-Williams,placed on IL with nose injury
30075,2019-12-05,Wizards,, Jordan McRae,placed on IL with surgery on finger
30077,2019-12-06,Cavaliers,, Kevin Love,placed on IL with illness
30078,2019-12-06,Heat,, Dion Waiters,placed on IL with illness
30081,2019-12-06,Pistons,, Sekou Doumbouya,placed on IL
30082,2019-12-06,Thunder,, Terrance Ferguson,placed on IL with right hip injury
30083,2019-12-06,Timberwolves,, Andrew Wiggins,placed on IL with sprained left thumb
30084,2019-12-06,Wizards,, Isaiah Thomas,placed on IL with strained left calf
30085,2019-12-07,76ers,, Joel Embiid,placed on IL with bruised left hip
30086,2019-12-07,Blazers,, Rodney Hood,placed on IL with torn left Achilles tendon (out for season)
30088,2019-12-07,Grizzlies,, Brandon Clarke,placed on IL with left oblique injury
30089,2019-12-07,Jazz,, Nigel Williams-Goss,placed on IL
30090,2019-12-07,Knicks,, Wayne Ellington,placed on IL with left Achilles injury
30091,2019-12-07,Pacers,, Malcolm Brogdon,placed on IL with right hand injury
30097,2019-12-08,Hornets,, Marvin Williams,placed on IL with sore right knee
30098,2019-12-08,Lakers,, Rajon Rondo,placed on IL with strained left hamstring
30099,2019-12-08,Mavericks,, Delon Wright,placed on IL with strained right adductor
30105,2019-12-09,Celtics,, Marcus Smart,placed on IL with left eye injury
30106,2019-12-09,Celtics,, Robert Williams III,placed on IL with sore left hip
30108,2019-12-09,Clippers,, JaMychal Green,placed on IL with tailbone injury
30112,2019-12-09,Rockets,, Tyson Chandler,placed on IL with illness
30113,2019-12-09,Thunder,, Danilo Gallinari,placed on IL with sprained right ankle
30116,2019-12-10,Heat,, Justise Winslow,placed on IL with strained lower back
30118,2019-12-11,Bucks,, Giannis Antetokounmpo,placed on IL with right quadricep injury
30119,2019-12-11,Bulls,, Max Strus,placed on IL
30121,2019-12-11,Grizzlies,, Grayson Allen,placed on IL with sore right ankle
30124,2019-12-11,Hornets,, Nicolas Batum,placed on IL with left hand injury
30126,2019-12-11,Lakers,, Kyle Kuzma,placed on IL with sprained left ankle
30128,2019-12-11,Magic,, Markelle Fultz,placed on IL with illness
30129,2019-12-11,Nets,, Nicolas Claxton / Nic Claxton,placed on IL with left hamstring injury
30130,2019-12-11,Raptors,, Fred VanVleet,placed on IL with bruised right knee
30132,2019-12-11,Rockets,, Austin Rivers,placed on IL with flu
30134,2019-12-11,Timberwolves,, Keita Bates-Diop,placed on IL with illness
30136,2019-12-12,Bucks,, Kyle Korver,placed on IL with sore back
30137,2019-12-12,Nuggets,, Vlatko Cancar,placed on IL
30138,2019-12-13,76ers,, Al Horford,placed on IL with sore left knee
30140,2019-12-13,Clippers,, Patrick Beverley,placed on IL with concussion
30142,2019-12-13,Grizzlies,, Ja Morant,placed on IL with back injury
30143,2019-12-13,Jazz,, Tony Bradley,placed on IL with illness
30144,2019-12-13,Knicks,, Allonzo Trier,placed on IL with concussion
30150,2019-12-13,Warriors,, Draymond Green,placed on IL
30151,2019-12-14,Bucks,, Eric Bledsoe,placed on IL with right fibula injury
30155,2019-12-14,Clippers,, Kawhi Leonard,placed on IL
30158,2019-12-14,Mavericks,, Ryan Broekhoff,placed on IL
30160,2019-12-14,Nuggets,, Paul Millsap,placed on IL with strained right quadriceps
30162,2019-12-14,Rockets,, Russell Westbrook,placed on IL
30163,2019-12-15,76ers,, Joel Embiid,placed on IL with illness
30165,2019-12-15,Nuggets,, Vlatko Cancar,placed on IL
30167,2019-12-15,Warriors,, Eric Paschall,placed on IL with sore left hip
30169,2019-12-16,Bucks,, Frank Mason,placed on IL
30171,2019-12-16,Mavericks,, Luka Doncic,placed on IL with sprained right ankle
30175,2019-12-16,Wizards,, Moritz Wagner / Moe Wagner,placed on IL with sprained left ankle
30178,2019-12-17,Clippers,, Terance Mann,placed on IL
30181,2019-12-17,Hawks,, Chandler Parsons,placed on IL with illness
30182,2019-12-17,Hornets,, P.J. Washington,placed on IL with fractured finger
30184,2019-12-17,Jazz,, Nigel Williams-Goss,placed on IL
30187,2019-12-17,Lakers,, Anthony Davis,placed on IL with sprained right ankle
30188,2019-12-17,Suns,, Tyler Johnson,placed on IL with illness
30192,2019-12-17,Pacers,, Alize Johnson,placed on IL with illness
30193,2019-12-18,Bulls,, Cristiano Felicio,placed on IL
30194,2019-12-18,Celtics,, Gordon Hayward,placed on IL with sore left foot
30195,2019-12-18,Celtics,, Vincent Poirier,placed on IL with fractured finger
30199,2019-12-18,Wizards,, Rui Hachimura,placed on IL with groin injury
30202,2019-12-19,Jazz,, Mike Conley Jr.,placed on IL with left hamstring injury
30206,2019-12-20,Kings,, Bogdan Bogdanovic,placed on IL with sore right ankle
30208,2019-12-20,Pistons,, Blake Griffin,placed on IL with sore left knee
30209,2019-12-20,Pistons,, Christian Wood,placed on IL with left knee injury
30210,2019-12-20,Pistons,, Luke Kennard,placed on IL with knee injury
30212,2019-12-20,Raptors,, Marc Gasol,placed on IL with strained left hamstring
30213,2019-12-20,Raptors,, Norman Powell,placed on IL with left shoulder subluxation
30214,2019-12-20,Raptors,, Pascal Siakam,placed on IL with groin injury
30216,2019-12-20,Suns,, Deandre Ayton,placed on IL with sprained right ankle
30218,2019-12-20,Timberwolves,, Karl-Anthony Towns,placed on IL with sprained left knee
30219,2019-12-21,Bucks,, Wesley Matthews / Wes Matthews Jr.,placed on IL with bruised right thigh
30220,2019-12-21,Grizzlies,, Jonas Valanciunas,placed on IL with sore right foot
30221,2019-12-21,Hawks,, Evan Turner,placed on IL with strained right hamstring
30223,2019-12-21,Rockets,, David Nwaba,placed on IL with torn right Achilles tendon (out for season)
30224,2019-12-21,Suns,, Ricky Rubio,placed on IL with illness
30228,2019-12-22,Clippers,, Patrick Beverley,placed on IL with right groin injury
30230,2019-12-22,Lakers,, LeBron James,placed on IL with strained thoracic muscle
30232,2019-12-22,Raptors,, Dewan Hernandez,placed on IL with sprained right ankle
30233,2019-12-22,Thunder,, Danilo Gallinari,placed on IL with sore left ankle
30234,2019-12-23,76ers,, Matisse Thybulle,placed on IL with sprained right knee
30236,2019-12-23,Cavaliers,, Larry Nance Jr.,placed on IL with sore left knee
30238,2019-12-23,Magic,, Michael Carter-Williams,placed on IL with sprained left shoulder
30239,2019-12-23,Pacers,, Malcolm Brogdon,placed on IL with left hamstring injury
30240,2019-12-23,Pistons,, Bruce Brown,placed on IL with calf injury
30241,2019-12-23,Pistons,, Luke Kennard,placed on IL with knee tendinitis (out for season)
30245,2019-12-23,Rockets,, Thabo Sefolosha,placed on IL with illness
30246,2019-12-23,Suns,, Jalen Lecque,placed on IL
30248,2019-12-23,Timberwolves,, Shabazz Napier,placed on IL with illness
30249,2019-12-23,Warriors,, Glenn Robinson III,placed on IL with sprained right ankle
30250,2019-12-23,Wizards,, Davis Bertans,placed on IL with strained right quadriceps
30252,2019-12-25,Bucks,, Frank Mason,placed on IL with strained abdominal
30256,2019-12-25,Warriors,, Kevon Looney,placed on IL with abdominal injury
30260,2019-12-26,Knicks,, Dennis Smith Jr.,placed on IL with strained left oblique
30262,2019-12-26,Pistons,, Sekou Doumbouya,placed on IL with illness
30266,2019-12-27,Bucks,, Giannis Antetokounmpo,placed on IL with sore back
30268,2019-12-27,Hawks,, Alex Len,placed on IL with sprained left ankle
30269,2019-12-27,Hawks,, Jabari Parker,placed on IL with right shoulder injury
30272,2019-12-27,Magic,, Mohamed Bamba / Mo Bamba,placed on IL with sprained right ankle
30273,2019-12-27,Warriors,, Eric Paschall,placed on IL with bruised right hip
30274,2019-12-27,Warriors,, Jordan Poole,placed on IL
30275,2019-12-28,Bulls,, Cristiano Felicio,placed on IL with illness
30277,2019-12-28,Cavaliers,, Kevin Love,placed on IL with bruised right hip
30279,2019-12-28,Clippers,, Montrezl Harrell,placed on IL with illness
30280,2019-12-28,Hawks,, Trae Young,placed on IL with sprained right ankle
30282,2019-12-28,Jazz,, Nigel Williams-Goss,placed on IL
30283,2019-12-28,Kings,, De'Aaron Fox,placed on IL with back spasms
30284,2019-12-28,Kings,, Marvin Bagley III,placed on IL with left foot injury
30286,2019-12-28,Nuggets,, Paul Millsap,placed on IL with bruised left knee
30287,2019-12-28,Pistons,, Markieff Morris,placed on IL with sprained left foot
30288,2019-12-28,Rockets,, Clint Capela,placed on IL with right heel injury
30289,2019-12-28,Rockets,, Michael Frazier II,placed on IL
30291,2019-12-28,Warriors,, Omari Spellman,placed on IL with illness
30292,2019-12-28,Wizards,, Bradley Beal,placed on IL with right leg injury
30293,2019-12-29,Grizzlies,, Jae Crowder,placed on IL with sore left ankle
30295,2019-12-29,Rockets,, Russell Westbrook,placed on IL
30297,2019-12-29,Thunder,, Dennis Schröder,placed on IL with sore right ankle
30298,2019-12-30,Bucks,, Wesley Matthews / Wes Matthews Jr.,placed on IL with bruised right thigh
30303,2019-12-30,Hawks,, Chandler Parsons,placed on IL
30305,2019-12-30,Magic,, Aaron Gordon,placed on IL with left Achilles injury
30310,2019-12-30,Timberwolves,, Andrew Wiggins,placed on IL with illness
30312,2019-12-31,76ers,, Joel Embiid,placed on IL with sore left knee
30313,2019-12-31,Celtics,, Jaylen Brown,placed on IL with illness
30314,2019-12-31,Clippers,, Patrick Beverley,placed on IL with sprained right wrist
30315,2019-12-31,Mavericks,, Kristaps Porzingis,placed on IL with sore right knee
30316,2019-12-31,Mavericks,, Ryan Broekhoff,placed on IL with fractured fibula in left leg
30317,2019-12-31,Mavericks,, Tim Hardaway Jr.,placed on IL with strained left hamstring
30318,2019-12-31,Nuggets,, Gary Harris,placed on IL with bruised left shin
30325,2019-12-31,Warriors,, Willie Cauley-Stein,placed on IL with illness
30327,2020-01-01,Blazers,, Skal Labissiere,placed on IL
30329,2020-01-01,Suns,, Frank Kaminsky,placed on IL with sore right knee
30334,2020-01-02,Jazz,, Nigel Williams-Goss,placed on IL
30335,2020-01-02,Nets,, Garrett Temple,placed on IL with bruised right knee
30336,2020-01-02,Nuggets,, Vlatko Cancar,placed on IL
30338,2020-01-02,Pacers,, Edmond Sumner,placed on IL with sore right knee
30339,2020-01-02,Pacers,, Malcolm Brogdon,placed on IL with sore lower back
30340,2020-01-02,Timberwolves,, Treveon Graham,placed on IL with illness
30341,2020-01-03,76ers,, James Ennis III,placed on IL with illness
30342,2020-01-03,Celtics,, Kemba Walker,placed on IL with illness
30344,2020-01-03,Hawks,, Evan Turner,placed on IL
30346,2020-01-03,Lakers,, Alex Caruso,placed on IL with right calf injury
30347,2020-01-03,Magic,, Jonathan Isaac,placed on IL with left knee injury
30354,2020-01-04,Bulls,, Adam Mokoka,placed on IL
30355,2020-01-04,Cavaliers,, Larry Nance Jr.,placed on IL with sore left knee
30356,2020-01-04,Clippers,, Paul George,placed on IL with left hamstring injury
30357,2020-01-04,Hawks,, Cameron Reddish / Cam Reddish,placed on IL with sprained right wrist
30358,2020-01-04,Hawks,, Jabari Parker,placed on IL with throat injury
30359,2020-01-04,Hawks,, John Collins (Martin),placed on IL with back injury
30362,2020-01-04,Kings,, Bogdan Bogdanovic,placed on IL with sore right ankle
30367,2020-01-04,Spurs,, Dejounte Murray,placed on IL for personal reasons
30368,2020-01-04,Warriors,, D'Angelo Russell,placed on IL with right shoulder injury
30371,2020-01-04,Wizards,, Bradley Beal,placed on IL with right leg injury
30372,2020-01-04,Wizards,, Thomas Bryant,placed on IL
30373,2020-01-05,Cavaliers,, Tristan Thompson,placed on IL with illness
30374,2020-01-05,Clippers,, Kawhi Leonard,placed on IL
30382,2020-01-06,Bucks,, Pat Connaughton,placed on IL with bruised right thigh
30383,2020-01-06,Celtics,, Romeo Langford,placed on IL with illness
30384,2020-01-06,Hawks,, Chandler Parsons,placed on IL
30385,2020-01-06,Hawks,, Evan Turner,placed on IL
30388,2020-01-06,Hornets,, Marvin Williams,placed on IL with fractured nose
30389,2020-01-06,Hornets,, Michael Kidd-Gilchrist,placed on IL with illness
30392,2020-01-06,Nuggets,, Vlatko Cancar,placed on IL
30393,2020-01-06,Thunder,, Nerlens Noel,placed on IL with sprained left ankle
30394,2020-01-06,Warriors,, Draymond Green,placed on IL with sprained right ankle
30395,2020-01-07,Cavaliers,, Dante Exum,placed on IL with illness
30396,2020-01-07,Cavaliers,, Kevin Porter Jr.,placed on IL with sprained left knee
30398,2020-01-07,Hawks,, Jabari Parker,placed on IL with right shoulder injury
30399,2020-01-07,Kings,, Richaun Holmes,placed on IL with sprained right shoulder
30400,2020-01-07,Knicks,, Marcus Morris,placed on IL with sore neck
30401,2020-01-07,Thunder,, Danilo Gallinari,placed on IL with right calf injury
30404,2020-01-08,Blazers,, Skal Labissiere,placed on IL with left knee injury
30405,2020-01-08,Bucks,, George Hill,placed on IL with illness
30407,2020-01-08,Bulls,, Wendell Carter Jr.,placed on IL with high right ankle sprain
30409,2020-01-08,Hawks,, Bruno Fernando,placed on IL with strained left calf
30413,2020-01-08,Nuggets,, Paul Millsap,placed on IL with bruised left knee
30415,2020-01-08,Rockets,, Russell Westbrook,placed on IL
30416,2020-01-08,Wizards,, Garrison Mathews,placed on IL with sprained right ankle
30417,2020-01-08,Heat,, Gabe Vincent,placed on IL
30418,2020-01-09,76ers,, Joel Embiid,placed on IL with left hand injury
30425,2020-01-10,Bucks,, Ersan Ilyasova,placed on IL with sore right knee
30426,2020-01-10,Clippers,, Paul George,placed on IL with strained left hamstring
30428,2020-01-10,Heat,, Justise Winslow,placed on IL with bruised lower back (out for season)
30430,2020-01-10,Jazz,, Nigel Williams-Goss,placed on IL
30431,2020-01-10,Lakers,, Anthony Davis,placed on IL with bruised tailbone
30432,2020-01-10,Magic,, Aaron Gordon,placed on IL with right calf injury
30433,2020-01-10,Nets,, Garrett Temple,placed on IL with bruised right knee
